iata,name,city,country,lat,lng,timezone
YSE,Squamish Airport,Squamish,Canada,49.7817001343,-123.162002563,
YAH,La Grande-4 Airport,La Grande-4,Canada,53.754699707,-73.6753005981,
YAL,Alert Bay Airport,Alert Bay,Canada,50.58219909667969,-126.91600036621094,
YCE,Centralia / James T. Field Memorial Aerodrome,Centralia,Canada,43.285599,-81.508301,
YCQ,Chetwynd Airport,Chetwynd,Canada,55.687198638916016,-121.62699890136719,
XRR,Ross River Airport,Ross River,Canada,61.9706001282,-132.42300415,
YDO,Dolbeau St Felicien Airport,Dolbeau-St-Félicien,Canada,48.778499603271,-72.375,
YEY,Amos/Magny Airport,Amos,Canada,48.563903,-78.249702,
YHE,Hope Airport,Hope,Canada,49.3683013916,-121.498001099,
YHT,Haines Junction Airport,Haines Junction,Canada,60.78919982910156,-137.54600524902344,
YDG,Digby / Annapolis Regional Airport,Digby,Canada,44.5458450365,-65.7854247093,
YJF,Fort Liard Airport,Fort Liard,Canada,60.235801696799996,-123.46900177,
YKJ,Key Lake Airport,Key Lake,Canada,57.256099700927734,-105.61799621582031,
YLR,Leaf Rapids Airport,Leaf Rapids,Canada,56.513301849365234,-99.98529815673828,
YME,Matane Airport,Matane,Canada,48.85689926147461,-67.45330047607422,
YML,Charlevoix Airport,Charlevoix,Canada,47.59749984741211,-70.2238998413086,
YOS,Owen Sound / Billy Bishop Regional Airport,Owen Sound,Canada,44.5903015137,-80.8375015259,
YPS,Port Hawkesbury Airport,Port Hawkesbury,Canada,45.6567001343,-61.3680992126,
YQS,St Thomas Municipal Airport,St Thomas,Canada,42.77000045776367,-81.11080169677734,
YRO,Ottawa / Rockcliffe Airport,Ottawa,Canada,45.4603004456,-75.64610290530001,
YSH,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,Canada,44.94580078125,-75.94059753417969,
YSL,St Leonard Airport,St Leonard,Canada,47.157501220703125,-67.83470153808594,
YVE,Vernon Airport,Vernon,Canada,50.24810028076172,-119.33100128173828,
YXQ,Beaver Creek Airport,Beaver Creek,Canada,62.410301208496094,-140.86700439453125,
YSN,Shuswap Regional Airport,Salmon Arm,Canada,50.682802,-119.228996,
KES,Kelsey Airport,Kelsey,Canada,56.0374984741,-96.50969696039999,
XPK,Pukatawagan Airport,Pukatawagan,Canada,55.7491989136,-101.26599884,
ZGF,Grand Forks Airport,Grand Forks,Canada,49.01559829711914,-118.43099975585938,
ZJG,Jenpeg Airport,Jenpeg,Canada,54.51890182495117,-98.04609680175781,
YTD,Thicket Portage Airport,Thicket Portage,Canada,55.31890106201172,-97.70780181884766,
PIW,Pikwitonei Airport,Pikwitonei,Canada,55.58890151977539,-97.16419982910156,
XPP,Poplar River Airport,Poplar River,Canada,52.9965258788,-97.2741937637,
WPC,Pincher Creek Airport,Pincher Creek,Canada,49.520599365200006,-113.997001648,
ZST,Stewart Airport,Stewart,Canada,55.935410448,-129.982434511,
ZUC,Ignace Municipal Airport,Ignace,Canada,49.4296989440918,-91.7177963256836,
FNB,Neubrandenburg Airport,Neubrandenburg,Germany,53.6022,13.306,
FSS,RAF Kinloss,Kinloss,United Kingdom,57.6493988037,-3.56064009666,
BXP,Biała Podlaska Airfield,Biała Podlaska,Poland,52.00078,23.1325278,
DGP,Daugavpils Intrenational Airport,Daugavpils,Latvia,55.944721221900004,26.6650009155,
LMR,Lime Acres Finsch Mine Airport,Lime Acres,South Africa,-28.36009979248047,23.43910026550293,
SXN,Sua Pan Airport,Sowa,Botswana,-20.5534,26.115801,
NDD,Sumbe Airport,Sumbe,Angola,-11.167900085449219,13.84749984741211,
MAI,Mangochi Airport,Mangochi,Malawi,-14.482999801635742,35.266998291015625,
ADI,Arandis Airport,Arandis,Namibia,-22.462200164794922,14.979999542236328,
MWE,Merowe New Airport,Merowe,Sudan,18.4433333333,31.8433333333,
ALN,St Louis Regional Airport,Alton/St Louis,United States,38.89030075069999,-90.0459976196,
AXN,Chandler Field,Alexandria,United States,45.8662986755,-95.39469909670001,
CLU,Columbus Municipal Airport,Columbus,United States,39.2619018555,-85.8963012695,
BBD,Curtis Field,Brady,United States,31.1793003082,-99.3238983154,
BIH,Eastern Sierra Regional Airport,Bishop,United States,37.3731002808,-118.363998413,
BKE,Baker City Municipal Airport,Baker City,United States,44.837299346900004,-117.808998108,
BPI,Miley Memorial Field,Big Piney,United States,42.58509827,-110.1110001,
WMH,Ozark Regional Airport,Mountain Home,United States,36.3689002991,-92.47049713130001,
BTL,W K Kellogg Airport,Battle Creek,United States,42.307300567599995,-85.2515029907,
BYI,Burley Municipal Airport,Burley,United States,42.542598724399994,-113.772003174,
CCY,Northeast Iowa Regional Airport,Charles City,United States,43.0726013184,-92.6108016968,
CNU,Chanute Martin Johnson Airport,Chanute,United States,37.668800354,-95.4850997925,
CRG,Jacksonville Executive at Craig Airport,Jacksonville,United States,30.3362998962,-81.51439666750001,
CSV,Crossville Memorial Whitson Field,Crossville,United States,35.9513015747,-85.08499908450001,
DAA,Davison Army Air Field,Fort Belvoir,United States,38.715000152600005,-77.1809997559,
DAG,Barstow Daggett Airport,Daggett,United States,34.85369873,-116.7870026,
DMN,Deming Municipal Airport,Deming,United States,32.262298584,-107.721000671,
DRA,Desert Rock Airport,Mercury,United States,36.6194,-116.032997,
EED,Needles Airport,Needles,United States,34.7663002014,-114.623001099,
EGI,Duke Field,Crestview,United States,30.65040016,-86.52290344,
EKA,Murray Field,Eureka,United States,40.803398132299996,-124.112998962,
HYR,Sawyer County Airport,Hayward,United States,46.025199890100005,-91.44429779050002,
JCT,Kimble County Airport,Junction,United States,30.5112991333,-99.7634963989,
LOL,Derby Field,Lovelock,United States,40.0663986206,-118.565002441,
MBG,Mobridge Municipal Airport,Mobridge,United States,45.54650116,-100.4079971,
MCB,Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,United States,31.17849922,-90.47190094,
MDH,Southern Illinois Airport,Carbondale/Murphysboro,United States,37.778099060058594,-89.25199890136719,
MMT,Mc Entire Joint National Guard Base,Eastover,United States,33.92079926,-80.80130005,
NHZ,Brunswick Executive Airport,Brunswick,United States,43.89220047,-69.93859863,
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport,United States,30.39109993,-81.42469788,
OGB,Orangeburg Municipal Airport,Orangeburg,United States,33.456798553467,-80.859497070312,
OTM,Ottumwa Regional Airport,Ottumwa,United States,41.10660172,-92.44789886,
OZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,United States,31.27569962,-85.71340179,
PWY,Ralph Wenz Field,Pinedale,United States,42.79550171,-109.8069992,
POU,Dutchess County Airport,Poughkeepsie,United States,41.6265983581543,-73.88420104980469,
RSL,Russell Municipal Airport,Russell,United States,38.872100830078,-98.811798095703,
RWF,Redwood Falls Municipal Airport,Redwood Falls,United States,44.54719925,-95.08229828,
SNS,Salinas Municipal Airport,Salinas,United States,36.662799835205,-121.60600280762,
TPH,Tonopah Airport,Tonopah,United States,38.06019974,-117.086998,
UKI,Ukiah Municipal Airport,Ukiah,United States,39.125999450684,-123.20099639893,
UOX,University Oxford Airport,Oxford,United States,34.384300231934,-89.536796569824,
HTV,Huntsville Regional Airport,Huntsville,United States,30.7469005585,-95.5871963501,
VTN,Miller Field,Valentine,United States,42.85779953,-100.5479965,
WMC,Winnemucca Municipal Airport,Winnemucca,United States,40.8965988159,-117.805999756,
WWR,West Woodward Airport,Woodward,United States,36.438,-99.5226667,
ZZV,Zanesville Municipal Airport,Zanesville,United States,39.9444007874,-81.89209747310001,
ECV,Cuatro Vientos Airport,Madrid,Spain,40.370701,-3.78514,
CDT,Castellón-Costa Azahar Airport,Castellón de la Plana,Spain,40.213889,0.073333,
TEV,Teruel Airport,Teruel,Spain,40.403,-1.2183,
QLP,Sarzana-Luni Air Base,Sarzana (SP),Italy,44.088001,9.98795,
BJY,Batajnica Air Base,Batajnica,Serbia,44.935299,20.2575,
RUV,Rubelsanto Airport,Rubelsanto,Guatemala,15.991999626159668,-90.44529724121094,
XPL,Coronel Enrique Soto Cano Air Base,Comayagua,Honduras,14.3824,-87.621201,
UPL,Upala Airport,Upala,Costa Rica,10.8922,-85.016197,
QSN,San Nicolas De Bari Airport,San Nicolás,Cuba,22.756099700927734,-81.9208984375,
SNJ,San Julian Air Base,Pinar Del Rio,Cuba,22.095300674438477,-84.1520004272461,
DWD,King Salman Abdulaziz Airport,,Saudi Arabia,24.4499,44.121201,
KMX,King Khaled Air Base,,Saudi Arabia,18.297300338745117,42.80350112915039,
XXN,Riyadh Air Base,Riyadh,Saudi Arabia,24.709800720214844,46.72520065307617,
KNR,Jam Airport,Kangan,Iran,27.820499420166016,52.35219955444336,
PYK,Payam International Airport,Karaj,Iran,35.776100158691,50.826698303223,
XIJ,Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,Kuwait,28.9347991943,47.791900634799994,
ATG,Minhas Air Base,Kamra,Pakistan,33.8690986633,72.4009017944,
SGI,Mushaf Air Base,Sargodha,Pakistan,32.04859924316406,72.66500091552734,
RQW,Qayyarah West Airport,Qayyarah,Iraq,35.76720047,43.125099182099994,
ENN,Nenana Municipal Airport,Nenana,United States,64.54730224609375,-149.07400512695312,
WWA,Wasilla Airport,Wasilla,United States,61.5717010498,-149.539993286,
IWK,Iwakuni Marine Corps Air Station,Iwakuni,Japan,34.143902,132.235992,
IEJ,Ie Jima Airport,Ie,Japan,26.7220001221,127.785003662,
AAV,Allah Valley Airport,Surallah,Philippines,6.366819858551025,124.7509994506836,
BPH,Bislig Airport,,Philippines,8.19594955444336,126.3219985961914,
MXI,Mati National Airport,,Philippines,6.949091,126.27368,
BAT,Chafei Amsei Airport,Barretos,Brazil,-20.584499359131,-48.594100952148,
QHP,Base de Aviação de Taubaté Airport,Taubaté,Brazil,-23.04010009765625,-45.51599884033203,
TOQ,Barriles Airport,Tocopilla,Chile,-22.14109992980957,-70.06289672851562,
CNR,Chañaral Airport,Chañaral,Chile,-26.332500457763672,-70.6072998046875,
TLX,Panguilemo Airport,Talca,Chile,-35.37779998779297,-71.60169982910156,
ZIC,Victoria Airport,Victoria,Chile,-38.245601654052734,-72.34860229492188,
TTC,Las Breas Airport,Taltal,Chile,-25.564300537109375,-70.37590026855469,
API,Gomez Nino Apiay Air Base,Apiay,Colombia,4.07607,-73.5627,
CVE,Coveñas Airport,Coveñas,Colombia,9.40092,-75.6913,
PAL,German Olano Air Base,La Dorada,Colombia,5.48361,-74.6574,
PZA,Paz De Ariporo Airport,Paz De Ariporo,Colombia,5.87615,-71.8866,
TQS,Tres Esquinas Air Base,Tres Esquinas,Colombia,0.7459,-75.234,
RIJ,Juan Simons Vela Airport,Rioja,Peru,-6.067860126495361,-77.16000366210938,
JAE,Shumba Airport,Jaén,Peru,-5.59248,-78.774002,
IKU,Issyk-Kul International Airport,Tamchy,Kyrgyzstan,42.58792,76.713046,
VYI,Vilyuisk Airport,Vilyuisk,Russia,63.75666809082,121.69333648682,
BGN,Belaya Gora Airport,,Russia,68.556602,146.231506,
GVN,Maygatka Airport.,Sovetskaya Gavan,Russia,48.926998138399995,140.033996582,
NLI,Nikolayevsk-na-Amure Airport,Nikolayevsk-na-Amure Airport,Russia,53.154999,140.649994,
VLK,Volgodonsk Airport,,Russia,47.682098388671875,42.07279968261719,
INA,Inta Airport,Inta,Russia,66.0548324584961,60.110321044921875,
ZIX,Zhigansk Airport,Zhigansk,Russia,66.7965011597,123.361000061,
RTC,Ratnagiri Airport,,India,17.013599,73.327797,
HIM,Hingurakgoda Air Force Base,Polonnaruwa Town,Sri Lanka,8.04981,80.9814,
RDP,Kazi Nazrul Islam Airport,Durgapur,India,23.6225,87.243,
PUT,Sri Sathya Sai Airport,Puttaparthi,India,14.1492996216,77.7910995483,
LNX,Smolensk North Airport,Smolensk,Russia,54.824,32.025,
ABH,Alpha Airport,Alpha,Australia,-23.646099,146.584,
ARY,Ararat Airport,,Australia,-37.30939865112305,142.98899841308594,
BLN,Benalla Airport,,Australia,-36.55189895629883,146.0070037841797,
BZD,Balranald Airport,,Australia,-34.623600006103516,143.5780029296875,
BWQ,Brewarrina Airport,,Australia,-29.973899841308594,146.81700134277344,
CVC,Cleve Airport,,Australia,-33.70970153808594,136.5050048828125,
CWW,Corowa Airport,,Australia,-35.99470138549805,146.35699462890625,
CYG,Corryong Airport,,Australia,-36.18280029296875,147.88800048828125,
CMD,Cootamundra Airport,,Australia,-34.6239013671875,148.0279998779297,
DRN,Dirranbandi Airport,,Australia,-28.591699600219727,148.2169952392578,
DNQ,Deniliquin Airport,Deniliquin,Australia,-35.5593986511,144.945999146,
DYA,Dysart Airport,,Australia,-22.62220001220703,148.36399841308594,
ECH,Echuca Airport,,Australia,-36.15719985961914,144.76199340820312,
FRB,Forbes Airport,Forbes,Australia,-33.363602,147.934998,
GUH,Gunnedah Airport,,Australia,-30.96109962463379,150.25100708007812,
HXX,Hay Airport,,Australia,-34.53139877319336,144.8300018310547,
HTU,Hopetoun Airport,,Australia,-35.715301513671875,142.36000061035156,
KRA,Kerang Airport,,Australia,-35.751399993896484,143.93899536132812,
KPS,Kempsey Airport,,Australia,-31.074399948120117,152.77000427246094,
KGY,Kingaroy Airport,,Australia,-26.580799102783203,151.84100341796875,
TGN,Latrobe Valley Airport,Morwell,Australia,-38.207199,146.470001,
MRG,Mareeba Airport,,Australia,-17.06920051574707,145.41900634765625,
RPM,Ngukurr Airport,,Australia,-14.722800254821777,134.7469940185547,
QRM,Narromine Airport,,Australia,-32.214698791503906,148.22500610351562,
PPI,Port Pirie Airport,,Australia,-33.23889923095703,137.9949951171875,
SIO,Smithton Airport,,Australia,-40.834999084472656,145.08399963378906,
SNB,Snake Bay Airport,,Australia,-11.422800064086914,130.6540069580078,
SWC,Stawell Airport,,Australia,-37.07170104980469,142.74099731445312,
TYB,Tibooburra Airport,,Australia,-29.451099395751953,142.05799865722656,
TUM,Tumut Airport,,Australia,-35.26279830932617,148.24099731445312,
WGT,Wangaratta Airport,,Australia,-36.41579818725586,146.3070068359375,
WKB,Warracknabeal Airport,,Australia,-36.32109832763672,142.41900634765625,
QRR,Warren Airport,,Australia,-31.733299255371094,147.80299377441406,
SXE,West Sale Airport,Sale,Australia,-38.090827,146.965335,
WWY,West Wyalong Airport,West Wyalong,Australia,-33.9371986389,147.190994263,
NGA,Young Airport,,Australia,-34.25559997558594,148.2480010986328,
LHK,Guangzhou MR Air Base,Guanghua,China,32.389400482177734,111.69499969482422,
WDS,Shiyan Wudangshan Airport,Shiyan,China,32.591667,110.907778,
HTT,Huatugou Airport,Mengnai,China,38.201984,90.841495,
UUN,Baruun Urt Airport,,Mongolia,46.660301208496094,113.28500366210938,
